X Y
41.999417 -124.210878
41.995810 -124.210016
41.992635 -124.209802
41.989959 -124.208385
41.987282 -124.206969
41.983676 -124.206108
41.978211 -124.206358
41.972360 -124.204727
41.967779 -124.205655
41.964582 -124.206057
41.959979 -124.207601
41.957666 -124.208681
41.954446 -124.209700
41.950795 -124.210071
41.949888 -124.210010
41.949457 -124.209364
41.946780 -124.207948
41.947800 -124.204927
41.946983 -124.202401
41.945303 -124.198582
41.942649 -124.196550
41.940404 -124.195781
41.939066 -124.195074
41.937705 -124.194982
41.937229 -124.195568
41.936731 -124.196770
41.935801 -124.197325
41.934463 -124.196617
41.932694 -124.195263
41.930879 -124.195142
41.929088 -124.194403
41.926842 -124.193635
41.926344 -124.194837
41.927660 -124.196160
41.928975 -124.197484
41.929384 -124.198747
41.929339 -124.199979
41.928841 -124.201181
41.929249 -124.202443
41.932878 -124.202688
41.936551 -124.201699
41.941563 -124.201419
41.943830 -124.201571
41.944715 -124.202249
41.943287 -124.204006
41.941450 -124.204500
41.937368 -124.204225
41.934647 -124.204042
41.930996 -124.204414
41.928706 -124.204877
41.925985 -124.204694
41.921427 -124.205005
41.916847 -124.205932
41.912742 -124.206273
41.906846 -124.205876
41.899567 -124.206004
41.890838 -124.208503
41.879841 -124.210848
41.872948 -124.212853
41.868346 -124.214394
41.863290 -124.215904
41.854606 -124.217170
41.846806 -124.219112
41.840367 -124.221145
41.834812 -124.223854
41.826967 -124.227025
41.822342 -124.229180
41.814497 -124.232349
41.806177 -124.236103
41.798763 -124.239917
41.795022 -124.242746
41.791734 -124.245605
41.790329 -124.246743
41.788469 -124.247850
41.787041 -124.249602
41.786043 -124.252000
41.784615 -124.253752
41.784093 -124.255566
41.782234 -124.256672
41.780828 -124.257809
41.779513 -124.256487
41.778198 -124.255165
41.776453 -124.253198
41.774276 -124.250585
41.772530 -124.248618
41.770739 -124.247880
41.770785 -124.246651
41.770853 -124.244807
41.771374 -124.242993
41.771419 -124.241764
41.769673 -124.239797
41.767950 -124.237216
41.766272 -124.233405
41.762349 -124.228827
41.758925 -124.223050
41.757156 -124.221699
41.755795 -124.221607
41.754979 -124.219088
41.755024 -124.217859
41.753255 -124.216507
41.751917 -124.215801
41.750579 -124.215095
41.749740 -124.213191
41.748515 -124.209412
41.746836 -124.205603
41.745157 -124.201794
41.745246 -124.199336
41.746198 -124.198168
41.747648 -124.195801
41.748600 -124.194633
41.749121 -124.192820
41.749188 -124.190976
41.748393 -124.187843
41.747553 -124.185938
41.745807 -124.183974
41.744967 -124.182070
41.744082 -124.181394
41.743674 -124.180135
41.744149 -124.179551
41.743740 -124.178292
41.743332 -124.177032
41.742105 -124.173255
41.739585 -124.167543
41.734300 -124.162880
41.728174 -124.156314
41.722866 -124.152267
41.717060 -124.149418
41.710800 -124.146541
41.703158 -124.144187
41.696335 -124.144351
41.694974 -124.144261
41.692254 -124.144081
41.687764 -124.142552
41.687266 -124.143750
41.683274 -124.141024
41.680553 -124.140844
41.677854 -124.140050
41.675112 -124.140484
41.674205 -124.140424
41.671440 -124.141472
41.667879 -124.139390
41.662958 -124.137219
41.659375 -124.135752
41.655338 -124.134254
41.653137 -124.132264
41.649643 -124.128342
41.644312 -124.124915
41.639866 -124.122162
41.636283 -124.120696
41.630908 -124.118497
41.627325 -124.117031
41.623288 -124.115536
41.620999 -124.116000
41.619661 -124.115297
41.618754 -124.115238
41.616465 -124.115702
