X,Y
35.6140,119.6344
35.5980,119.6185
35.5834,119.6039
35.5669,119.5875
35.5443,119.5624
35.5324,119.5490
35.5102,119.5240
35.4916,119.5013
35.4708,119.4758
35.4531,119.4560
35.4486,119.4502
35.4358,119.4340
35.4194,119.4154
35.4154,119.4102
35.4061,119.3986
35.4061,119.3986
35.3888,119.3772
35.3671,119.3528
35.3538,119.3361
35.3392,119.3181
35.3179,119.2932
35.3001,119.2707
35.2899,119.2592
35.2855,119.2528
35.2855,119.2528
35.2806,119.2471
35.2717,119.2361
35.2717,119.2361
35.2478,119.2123
35.2306,119.1915
35.2134,119.1733
35.2134,119.1733
35.1913,119.1485
35.1705,119.1252
35.1462,119.0989
35.1348,119.0842
35.1259,119.0736
35.0967,119.0428
35.0820,119.0282
35.0697,119.0146
35.0577,119.0000
35.3987,119.0409
35.3901,119.0427
35.3800,119.0406
35.3660,119.0400
35.3612,119.0376
35.3522,119.0346
35.3403,119.0349
35.3350,119.0353
35.3309,119.0358
35.3227,119.0362
35.3133,119.0348
35.3015,119.0306
35.2901,119.0281
35.2819,119.0262
35.2717,119.0254
35.2696,119.0259
35.2696,119.0259
35.2583,119.0228
35.2466,119.0208
35.2312,119.0159
35.2200,119.0100
35.2132,119.0081
35.2132,119.0081
35.1951,119.0026
35.1761,118.9981
35.1567,118.9937
35.1368,118.9875
35.1201,118.9826
35.1020,118.9776
35.0839,118.9727
35.0703,118.9695
35.0604,118.9676
35.0567,118.9675
35.3660,119.0022
35.3652,118.9716
35.3629,118.9472
35.3604,118.9291
35.3595,118.9206
35.3595,118.9206
35.3503,118.8967
35.3413,118.8666
35.3365,118.8512
35.3314,118.8325
35.3266,118.8160
35.3223,118.8018
35.3188,118.7910
35.3135,118.7808
35.3055,118.7693
35.2998,118.7607
35.2935,118.7533
35.2877,118.7452
35.2833,118.7395
35.2824,118.7350
35.2826,118.7271
35.2804,118.7175
35.2778,118.7101
35.2743,118.7016
35.2717,118.6953
35.2700,118.6846
35.2697,118.6772
35.2697,118.6733
35.3869,119.2457
35.3923,119.2458
35.4050,119.2479
35.4061,119.3986
35.4057,119.3523
35.4049,119.2992
35.4050,119.2479
35.3869,119.2457
35.3850,119.1576
35.3827,119.1067
35.3805,119.0513
35.3800,119.0406
35.6054,119.2131
35.6014,119.2079
35.5983,119.2021
35.5944,119.1963
35.5899,119.1939
35.5822,119.1920
35.5763,119.1902
35.5659,119.1876
35.5555,119.1856
35.5424,119.1818
35.5302,119.1798
35.5207,119.1761
35.5131,119.1725
35.5073,119.1667
35.5033,119.1621
35.4993,119.1574
35.4962,119.1534
35.4949,119.1511
35.4696,119.1182
35.4612,119.1055
35.4545,119.0963
35.4474,119.0871
35.4399,119.0756
35.4399,119.0756
35.4368,119.0710
35.4338,119.0647
35.4316,119.0607
35.4280,119.0583
35.4253,119.0571
35.4198,119.0553
35.4167,119.0546
35.4122,119.0511
35.4077,119.0482
35.4050,119.0464
35.3997,119.0412
35.3987,119.0409
35.3073,119.6232
35.3212,119.6119
35.3300,119.6071
35.3396,119.6046
35.3446,119.6031
35.3487,119.6015
35.3515,119.5994
35.3547,119.5955
35.3595,119.5861
35.3665,119.5745
35.3773,119.5591
35.3830,119.5497
35.3900,119.5420
35.3987,119.5344
35.4025,119.5305
35.4062,119.5262
35.4072,119.5222
35.4070,119.5087
35.4046,119.4725
35.4044,119.4589
35.4047,119.4443
35.4052,119.4229
35.4061,119.3986
33.9393,116.6728
33.9397,116.6595
33.9379,116.6524
33.9374,116.6479
33.9369,116.6396
33.9369,116.6335
33.9364,116.6252
33.9350,116.6158
33.9323,116.6020
33.9299,116.5898
33.9276,116.5777
33.9276,116.5777
33.9225,116.5561
33.9184,116.5395
33.9119,116.5186
33.9041,116.5053
33.8982,116.4932
33.8982,116.4932
33.8854,116.4761
33.8739,116.4618
33.8643,116.4481
33.8538,116.4310
33.8460,116.4178
33.8387,116.4057
33.8363,116.3990
33.8363,116.3990
33.8336,116.3919
33.8290,116.3836
33.8249,116.3781
33.8152,116.3627
33.8047,116.3473
33.7987,116.3374
33.7905,116.3220
33.7849,116.3099
33.7784,116.2912
33.7729,116.2747
33.7696,116.2609
33.7696,116.2609
33.7649,116.2405
33.7580,116.2207
33.7515,116.2097
33.7437,116.1976
33.7327,116.1856
33.7245,116.1763
33.7194,116.1703
33.7194,116.1681
33.7194,116.1681
33.7171,116.1609
33.7152,116.1499
33.7133,116.1400
33.7104,116.1246
33.7039,116.1064
33.6998,116.0943
33.6974,116.0844
33.6987,116.0778
33.7014,116.0728
33.7027,116.0678
33.7027,116.0579
33.6994,116.0452
33.6942,116.0315
33.6878,116.0211
33.6855,116.0145
33.6835,116.0035
33.6839,115.9963
33.6852,115.9786
33.6817,115.9544
33.6750,115.9087
33.6716,115.8889
33.6691,115.8641
33.6684,115.8393
33.6682,115.8194
33.6676,115.8078
33.6661,115.7963
33.6633,115.7875
33.6605,115.7798
33.6600,115.7732
33.5213,117.1624
33.5081,117.1475
33.5004,117.1409
33.4931,117.1299
33.4899,117.1282
33.4863,117.1266
33.4831,117.1255
32.8553,116.5834
32.8575,116.5725
32.8571,116.5632
32.8548,116.5539
32.8511,116.5441
32.8456,116.5327
32.8373,116.5267
32.8296,116.5224
32.8250,116.5191
32.8177,116.5116
32.8085,116.5034
32.8017,116.4975
32.7957,116.4915
32.7898,116.4877
32.7825,116.4845
32.7698,116.4829
32.7606,116.4814
32.7533,116.4787
32.7479,116.4765
32.7415,116.4733
32.7383,116.4712
32.7332,116.4663
32.7291,116.4576
32.7272,116.4478
32.7249,116.4331
32.7220,116.4080
32.7169,116.3852
32.7136,116.3694
32.7131,116.3612
32.7135,116.3547
32.7116,116.3411
32.7093,116.3345
32.7093,116.3345
32.7038,116.3177
32.6996,116.3096
32.6973,116.3009
32.6922,116.2878
32.6880,116.2786
33.0595,117.0657
33.0787,117.0668
33.0887,117.0674
33.1001,117.0685
33.1160,117.0728
33.1237,117.0750
33.0595,117.0657
33.0450,117.0739
33.0258,117.0826
33.0136,117.0875
32.9922,117.0924
